note_length,count
15277,440
39920,3
14075,520
36067,2
27016,23
64577,1
4145,11761
57066,1
32423,12
36276,3
33302,7
24537,42
45327,1
23435,57
28579,15
36946,3
21563,71
28181,17
26707,24
28888,8
5917,7113
7789,3967
16156,305
17149,216
13405,694
38048,5
25144,34
35967,4
38818,2
39711,1
19691,127
26309,22
9661,2292
26409,19
46306,1
28679,18
38148,1
30551,18
24437,29
20693,89
49578,4
41892,3
68221,2
26807,17
55294,1
42562,1
15947,342
22565,54
37839,4
39811,1
34095,2
73737,1
51550,1
13305,674
11533,1180
80332,1
4045,11909
215391,2
40690,1
17819,164
29558,16
20793,80
19900,119
36176,2
32532,6
31430,9
53322,2
22665,74
2250,25622
30053,13
30760,9
43455,1
378,91661
2273,24624
19021,112
34404,8
18028,164
34195,6
37939,3
21772,62
32632,10
4122,11719
15177,426
30451,10
47199,1
41792,2
35174,5
37046,1
38918,3
40790,5
28788,17
6017,6732
30660,13
62682,1
9761,2181
17049,267
18921,128
34504,3
32323,9
5994,6951
7889,3946
10440,1780
2073,28060
6587,5836
9561,2197
17928,182
18326,163
40513,2
31230,10
30351,10
59531,2
8668,3071
38718,1
22863,49
27586,25
18821,142
15847,321
24944,32
6796,5351
5717,7623
17619,233
51645,1
80132,2
23172,42
29358,16
11433,1280
32223,13
20198,98
48001,1
3945,12658
36846,1
8568,3176
201,111078
12203,975
63175,2
7689,4039
60633,1
64377,2
34304,7
40590,2
49873,2
6487,5948
30560,10
23942,29
17828,176
14284,524
33102,12
21970,71
49773,3
22963,32
27686,14
10231,1845
8359,3395
32432,11
10540,1748
25814,30
75509,2
5817,7263
34974,3
10331,1800
2843,18621
26607,23
44257,2
14184,538
12412,891
36746,4
22070,77
51745,2
45834,2
33202,4
12103,983
15747,315
24835,41
25044,32
65047,1
7589,4237
16949,228
23842,39
25714,30
3052,16993
28688,13
15077,425
15956,316
42462,1
13975,560
26816,26
4924,9460
8459,3328
12312,907
28479,15
24735,32
4715,9936
20991,72
16454,290
19800,124
62405,1
12710,829
38618,3
35074,4
971,52150
17719,187
13205,700
19591,126
11333,1372
1180,45609
9461,2417
23072,38
29458,16
26916,21
2173,26631
301,92269
13875,567
42385,2
31330,5
16056,320
14582,446
21200,68
74407,1
1750,35128
65156,1
116019,1
871,58301
57668,1
13775,629
25537,25
33002,9
12212,959
4724,9885
25514,27
33025,4
8368,3325
54024,1
42955,2
42285,2
50171,1
44057,2
16254,268
14482,505
34874,2
14084,528
12610,915
127360,1
3845,12990
11903,1109
84174,2
2743,19507
45929,3
34897,4
23642,61
15647,384
64054,1
7366,4460
27386,21
31153,7
4824,9856
1973,30353
65056,2
57459,2
31130,3
44157,2
27409,15
1080,51435
14382,450
4515,10614
3622,13772
10240,1865
47901,1
12112,997
18226,164
20098,75
13984,547
70463,1
2643,20262
55896,2
2952,17907
771,64300
29258,12
73042,1
21770,58
36769,2
29281,11
5494,7932
101,152618
980,53451
8866,2859
48508,2
10031,1950
4615,10249
27486,25
19998,96
16354,276
6696,5590
71052,1
18589,134
44494,3
19107,119
15818,341
8330,3331
10620,1697
279905,2
36488,6
23269,49
53671,1
53153,2
16299,296
21397,71
37006,3
6458,5940
18626,164
20461,97
5522,8136
40567,6
37424,3
24205,36
49592,2
34198,4
17172,245
10202,1961
20979,98
27949,27
44729,2
13946,590
38878,1
15781,329
63146,2
66372,1
26077,23
43976,4
15300,406
13428,683
22851,51
48473,1
69515,1
12074,1001
13909,612
14845,452
40750,2
7394,4475
20043,104
33262,12
22333,54
43040,1
15363,395
11556,1242
35552,6
14882,434
49927,3
51799,1
17653,201
16754,214
4586,10470
9684,2140
42439,3
37942,3
43793,1
39631,2
36070,3
18171,154
38360,2
72506,2
17690,198
8748,2983
19525,134
17235,235
72924,1
12492,939
21915,66
35134,12
41168,2
9266,2502
16236,294
48656,1
16717,238
43558,3
44311,1
51281,1
41686,2
46784,2
78085,1
27013,24
11138,1405
13010,785
25141,29
49409,1
23787,49
44912,3
14364,455
3132,16595
30689,10
91639,1
163690,1
2013,30806
